"","playerID","yearID","teamID.x","lgID.x","AB","H","HR","RBI","BB","SO","nameFirst","nameLast","nameGiven","salary","HperAB","HRperH","recordID","count","playerCount","fullName"
"1457","bonifem01",2012,"MIA","NL",244,63,1,11,25,52,"Emilio","Bonifacio","Emilio Jose",2200000,0.258196721311475,0.0158730158730159,1682,1,5,"Emilio Bonifacio"
"1458","bonifem01",2015,"CHA","AL",78,13,0,4,2,27,"Emilio","Bonifacio","Emilio Jose",3e+06,0.166666666666667,0,1687,1,5,"Emilio Bonifacio"
"1459","bonilbo01",1987,"PIT","NL",466,140,15,77,39,64,"Bobby","Bonilla","Roberto Martin Antonio",115000,0.300429184549356,0.107142857142857,1690,1,13,"Bobby Bonilla"
"1460","bonilbo01",1988,"PIT","NL",584,160,24,100,85,82,"Bobby","Bonilla","Roberto Martin Antonio",230000,0.273972602739726,0.15,1691,1,13,"Bobby Bonilla"
"1461","bonilbo01",1989,"PIT","NL",616,173,24,86,76,93,"Bobby","Bonilla","Roberto Martin Antonio",740000,0.280844155844156,0.138728323699422,1692,1,13,"Bobby Bonilla"
"1462","bonilbo01",1990,"PIT","NL",625,175,32,120,45,103,"Bobby","Bonilla","Roberto Martin Antonio",1250000,0.28,0.182857142857143,1693,1,13,"Bobby Bonilla"
"1463","bonilbo01",1991,"PIT","NL",577,174,18,100,90,67,"Bobby","Bonilla","Roberto Martin Antonio",2400000,0.30155979202773,0.103448275862069,1694,1,13,"Bobby Bonilla"
"1464","bonilbo01",1992,"NYN","NL",438,109,19,70,66,73,"Bobby","Bonilla","Roberto Martin Antonio",6100000,0.248858447488584,0.174311926605505,1695,1,13,"Bobby Bonilla"
"1465","bonilbo01",1993,"NYN","NL",502,133,34,87,72,96,"Bobby","Bonilla","Roberto Martin Antonio",6200000,0.264940239043825,0.255639097744361,1696,1,13,"Bobby Bonilla"
"1466","bonilbo01",1994,"NYN","NL",403,117,20,67,55,101,"Bobby","Bonilla","Roberto Martin Antonio",6300000,0.290322580645161,0.170940170940171,1697,1,13,"Bobby Bonilla"
"1467","bonilbo01",1996,"BAL","AL",595,171,28,116,75,85,"Bobby","Bonilla","Roberto Martin Antonio",5100000,0.287394957983193,0.16374269005848,1700,1,13,"Bobby Bonilla"
"1468","bonilbo01",1997,"FLO","NL",562,167,17,96,73,94,"Bobby","Bonilla","Roberto Martin Antonio",5600000,0.297153024911032,0.101796407185629,1701,1,13,"Bobby Bonilla"
"1469","bonilbo01",1999,"NYN","NL",119,19,4,18,19,16,"Bobby","Bonilla","Roberto Martin Antonio",5900000,0.159663865546218,0.210526315789474,1704,1,13,"Bobby Bonilla"
"1470","bonilbo01",2000,"ATL","NL",239,61,5,28,37,51,"Bobby","Bonilla","Roberto Martin Antonio",2e+05,0.255230125523013,0.0819672131147541,1705,1,13,"Bobby Bonilla"
"1471","bonilbo01",2001,"SLN","NL",174,37,5,21,23,53,"Bobby","Bonilla","Roberto Martin Antonio",9e+05,0.21264367816092,0.135135135135135,1706,1,13,"Bobby Bonilla"
"1477","booneaa01",1998,"CIN","NL",181,51,2,28,15,36,"Aaron","Boone","Aaron John",170000,0.281767955801105,0.0392156862745098,1712,1,9,"Aaron Boone"
"1478","booneaa01",1999,"CIN","NL",472,132,14,72,30,79,"Aaron","Boone","Aaron John",210000,0.279661016949153,0.106060606060606,1713,1,9,"Aaron Boone"
"1479","booneaa01",2000,"CIN","NL",291,83,12,43,24,52,"Aaron","Boone","Aaron John",3e+05,0.285223367697594,0.144578313253012,1714,1,9,"Aaron Boone"
"1480","booneaa01",2001,"CIN","NL",381,112,14,62,29,71,"Aaron","Boone","Aaron John",4e+05,0.293963254593176,0.125,1715,1,9,"Aaron Boone"
"1481","booneaa01",2002,"CIN","NL",606,146,26,87,56,111,"Aaron","Boone","Aaron John",2100000,0.240924092409241,0.178082191780822,1716,1,9,"Aaron Boone"
"1482","booneaa01",2005,"CLE","AL",511,124,16,60,35,92,"Aaron","Boone","Aaron John",3e+06,0.2426614481409,0.129032258064516,1719,1,9,"Aaron Boone"
"1483","booneaa01",2006,"CLE","AL",354,89,7,46,27,62,"Aaron","Boone","Aaron John",3750000,0.251412429378531,0.0786516853932584,1720,1,9,"Aaron Boone"
"1484","booneaa01",2007,"FLO","NL",189,54,5,28,21,41,"Aaron","Boone","Aaron John",925000,0.285714285714286,0.0925925925925926,1721,1,9,"Aaron Boone"
"1485","booneaa01",2008,"WAS","NL",232,56,6,28,18,52,"Aaron","Boone","Aaron John",1e+06,0.241379310344828,0.107142857142857,1722,1,9,"Aaron Boone"
"1486","boonebo01",1985,"CAL","AL",460,114,5,55,37,35,"Bob","Boone","Robert Raymond",883000,0.247826086956522,0.043859649122807,1723,1,6,"Bob Boone"
"1487","boonebo01",1986,"CAL","AL",442,98,7,49,43,30,"Bob","Boone","Robert Raymond",853479,0.221719457013575,0.0714285714285714,1724,1,6,"Bob Boone"
"1488","boonebo01",1987,"CAL","AL",389,94,3,33,35,36,"Bob","Boone","Robert Raymond",883000,0.241645244215938,0.0319148936170213,1725,1,6,"Bob Boone"
"1489","boonebo01",1988,"CAL","AL",352,104,5,39,29,26,"Bob","Boone","Robert Raymond",883000,0.295454545454545,0.0480769230769231,1726,1,6,"Bob Boone"
"1490","boonebo01",1989,"KCA","AL",405,111,1,43,49,37,"Bob","Boone","Robert Raymond",883001,0.274074074074074,0.00900900900900901,1727,1,6,"Bob Boone"
"1491","boonebo01",1990,"KCA","AL",117,28,0,9,17,12,"Bob","Boone","Robert Raymond",1900000,0.239316239316239,0,1728,1,6,"Bob Boone"
"1492","boonebr01",1993,"SEA","AL",271,68,12,38,17,52,"Bret","Boone","Bret Robert",120000,0.250922509225092,0.176470588235294,1729,1,12,"Bret Boone"
"1493","boonebr01",1994,"CIN","NL",381,122,12,68,24,74,"Bret","Boone","Bret Robert",175000,0.320209973753281,0.0983606557377049,1730,1,12,"Bret Boone"
"1494","boonebr01",1995,"CIN","NL",513,137,15,68,41,84,"Bret","Boone","Bret Robert",4e+05,0.267056530214425,0.109489051094891,1731,1,12,"Bret Boone"
"1495","boonebr01",1996,"CIN","NL",520,121,12,69,31,100,"Bret","Boone","Bret Robert",725000,0.232692307692308,0.0991735537190083,1732,1,12,"Bret Boone"
"1496","boonebr01",1997,"CIN","NL",443,99,7,46,45,101,"Bret","Boone","Bret Robert",1700000,0.223476297968397,0.0707070707070707,1733,1,12,"Bret Boone"
"1497","boonebr01",1998,"CIN","NL",583,155,24,95,48,104,"Bret","Boone","Bret Robert",2800000,0.265866209262436,0.154838709677419,1734,1,12,"Bret Boone"
"1498","boonebr01",1999,"ATL","NL",608,153,20,63,47,112,"Bret","Boone","Bret Robert",2900000,0.251644736842105,0.130718954248366,1735,1,12,"Bret Boone"
"1499","boonebr01",2000,"SDN","NL",463,116,19,74,50,97,"Bret","Boone","Bret Robert",3750000,0.250539956803456,0.163793103448276,1736,1,12,"Bret Boone"
"1500","boonebr01",2001,"SEA","AL",623,206,37,141,40,110,"Bret","Boone","Bret Robert",3250000,0.330658105939005,0.179611650485437,1737,1,12,"Bret Boone"
"1501","boonebr01",2002,"SEA","AL",608,169,24,107,53,102,"Bret","Boone","Bret Robert",8e+06,0.277960526315789,0.142011834319527,1738,1,12,"Bret Boone"
"1502","boonebr01",2003,"SEA","AL",622,183,35,117,68,125,"Bret","Boone","Bret Robert",8e+06,0.294212218649518,0.191256830601093,1739,1,12,"Bret Boone"
"1503","boonebr01",2004,"SEA","AL",593,149,24,83,56,135,"Bret","Boone","Bret Robert",8e+06,0.251264755480607,0.161073825503356,1740,1,12,"Bret Boone"
"1510","bordepa01",1988,"TOR","AL",154,42,5,21,3,24,"Pat","Borders","Patrick Lance",62500,0.272727272727273,0.119047619047619,1751,1,10,"Pat Borders"
"1511","bordepa01",1989,"TOR","AL",241,62,3,29,11,45,"Pat","Borders","Patrick Lance",101000,0.257261410788382,0.0483870967741935,1752,1,10,"Pat Borders"
"1512","bordepa01",1990,"TOR","AL",346,99,15,49,18,57,"Pat","Borders","Patrick Lance",180000,0.286127167630058,0.151515151515152,1753,1,10,"Pat Borders"
"1513","bordepa01",1991,"TOR","AL",291,71,5,36,11,45,"Pat","Borders","Patrick Lance",7e+05,0.243986254295533,0.0704225352112676,1754,1,10,"Pat Borders"
"1514","bordepa01",1992,"TOR","AL",480,116,13,53,33,75,"Pat","Borders","Patrick Lance",1e+06,0.241666666666667,0.112068965517241,1755,1,10,"Pat Borders"
"1515","bordepa01",1993,"TOR","AL",488,124,9,55,20,66,"Pat","Borders","Patrick Lance",2500000,0.254098360655738,0.0725806451612903,1756,1,10,"Pat Borders"
"1516","bordepa01",1994,"TOR","AL",295,73,3,26,15,50,"Pat","Borders","Patrick Lance",2500000,0.247457627118644,0.0410958904109589,1757,1,10,"Pat Borders"
"1517","bordepa01",1997,"CLE","AL",159,47,4,15,9,27,"Pat","Borders","Patrick Lance",4e+05,0.29559748427673,0.0851063829787234,1763,1,10,"Pat Borders"
"1518","bordepa01",1998,"CLE","AL",160,38,0,6,10,40,"Pat","Borders","Patrick Lance",5e+05,0.2375,0,1764,1,10,"Pat Borders"
"1519","bordepa01",2003,"SEA","AL",14,2,0,1,1,5,"Pat","Borders","Patrick Lance",5e+05,0.142857142857143,0,1767,1,10,"Pat Borders"
"1520","bordimi01",1992,"OAK","AL",504,151,3,48,40,59,"Mike","Bordick","Michael Todd",185000,0.299603174603175,0.0198675496688742,1768,1,11,"Mike Bordick"
"1521","bordimi01",1993,"OAK","AL",546,136,3,48,60,58,"Mike","Bordick","Michael Todd",4e+05,0.249084249084249,0.0220588235294118,1769,1,11,"Mike Bordick"
"1522","bordimi01",1994,"OAK","AL",391,99,2,37,38,44,"Mike","Bordick","Michael Todd",1050000,0.253196930946292,0.0202020202020202,1770,1,11,"Mike Bordick"
"1523","bordimi01",1995,"OAK","AL",428,113,8,44,35,48,"Mike","Bordick","Michael Todd",1350000,0.264018691588785,0.0707964601769911,1771,1,11,"Mike Bordick"
"1524","bordimi01",1996,"OAK","AL",525,126,5,54,52,59,"Mike","Bordick","Michael Todd",2e+06,0.24,0.0396825396825397,1772,1,11,"Mike Bordick"
"1525","bordimi01",1997,"BAL","AL",509,120,7,46,33,66,"Mike","Bordick","Michael Todd",2333333,0.235756385068762,0.0583333333333333,1773,1,11,"Mike Bordick"
"1526","bordimi01",1998,"BAL","AL",465,121,13,51,39,65,"Mike","Bordick","Michael Todd",3583333,0.260215053763441,0.107438016528926,1774,1,11,"Mike Bordick"
"1527","bordimi01",1999,"BAL","AL",631,175,10,77,54,102,"Mike","Bordick","Michael Todd",3083334,0.277337559429477,0.0571428571428571,1775,1,11,"Mike Bordick"
"1528","bordimi01",2001,"BAL","AL",229,57,7,30,17,36,"Mike","Bordick","Michael Todd",4500000,0.248908296943231,0.12280701754386,1778,1,11,"Mike Bordick"
"1529","bordimi01",2002,"BAL","AL",367,85,8,36,35,63,"Mike","Bordick","Michael Todd",4873439,0.231607629427793,0.0941176470588235,1779,1,11,"Mike Bordick"
"1530","bordimi01",2003,"TOR","AL",343,94,5,54,33,60,"Mike","Bordick","Michael Todd",1e+06,0.274052478134111,0.0531914893617021,1780,1,11,"Mike Bordick"
"1541","bostoda01",1986,"CHA","AL",199,53,5,22,21,33,"Daryl","Boston","Daryl Lamont",68000,0.266331658291457,0.0943396226415094,1793,1,9,"Daryl Boston"
"1542","bostoda01",1987,"CHA","AL",337,87,10,29,25,68,"Daryl","Boston","Daryl Lamont",75000,0.258160237388724,0.114942528735632,1794,1,9,"Daryl Boston"
"1543","bostoda01",1988,"CHA","AL",281,61,15,31,21,44,"Daryl","Boston","Daryl Lamont",75000,0.217081850533808,0.245901639344262,1795,1,9,"Daryl Boston"
"1544","bostoda01",1989,"CHA","AL",218,55,5,23,24,31,"Daryl","Boston","Daryl Lamont",210000,0.252293577981651,0.0909090909090909,1796,1,9,"Daryl Boston"
"1545","bostoda01",1990,"NYN","NL",366,100,12,45,28,50,"Daryl","Boston","Daryl Lamont",310000,0.273224043715847,0.12,1797,1,9,"Daryl Boston"
"1546","bostoda01",1991,"NYN","NL",255,70,4,21,30,42,"Daryl","Boston","Daryl Lamont",750000,0.274509803921569,0.0571428571428571,1798,1,9,"Daryl Boston"
"1547","bostoda01",1992,"NYN","NL",289,72,11,35,38,60,"Daryl","Boston","Daryl Lamont",935000,0.249134948096886,0.152777777777778,1799,1,9,"Daryl Boston"
"1548","bostoda01",1993,"COL","NL",291,76,14,40,26,57,"Daryl","Boston","Daryl Lamont",550000,0.261168384879725,0.184210526315789,1800,1,9,"Daryl Boston"
"1549","bostoda01",1994,"NYA","AL",77,14,4,14,6,20,"Daryl","Boston","Daryl Lamont",4e+05,0.181818181818182,0.285714285714286,1801,1,9,"Daryl Boston"
"1552","botteke01",1996,"CHN","NL",2,1,0,0,0,1,"Kent","Bottenfield","Kent Dennis",111000,0.5,0,1806,1,5,"Kent Bottenfield"
"1553","botteke01",1998,"SLN","NL",34,3,0,2,0,9,"Kent","Bottenfield","Kent Dennis",8e+05,0.0882352941176471,0,1807,1,5,"Kent Bottenfield"
"1554","botteke01",1999,"SLN","NL",61,9,0,5,1,26,"Kent","Bottenfield","Kent Dennis",850000,0.147540983606557,0,1808,1,5,"Kent Bottenfield"
"1555","botteke01",2000,"ANA","AL",3,2,0,0,0,1,"Kent","Bottenfield","Kent Dennis",4e+06,0.666666666666667,0,1809,1,5,"Kent Bottenfield"
"1556","botteke01",2001,"HOU","NL",14,2,0,0,0,5,"Kent","Bottenfield","Kent Dennis",2e+06,0.142857142857143,0,1810,1,5,"Kent Bottenfield"
"1563","bourjpe01",2011,"LAA","AL",502,136,12,43,32,124,"Peter","Bourjos","Peter Christopher",414000,0.270916334661355,0.0882352941176471,1817,1,6,"Peter Bourjos"
"1564","bourjpe01",2012,"LAA","AL",168,37,3,19,15,44,"Peter","Bourjos","Peter Christopher",5e+05,0.220238095238095,0.0810810810810811,1818,1,6,"Peter Bourjos"
"1565","bourjpe01",2013,"LAA","AL",175,48,3,12,10,43,"Peter","Bourjos","Peter Christopher",512500,0.274285714285714,0.0625,1819,1,6,"Peter Bourjos"
"1566","bourjpe01",2014,"SLN","NL",264,61,4,24,20,78,"Peter","Bourjos","Peter Christopher",1200000,0.231060606060606,0.0655737704918033,1820,1,6,"Peter Bourjos"
"1567","bourjpe01",2015,"SLN","NL",195,39,4,13,19,59,"Peter","Bourjos","Peter Christopher",1650000,0.2,0.102564102564103,1821,1,6,"Peter Bourjos"
"1568","bourjpe01",2016,"PHI","NL",355,89,5,23,17,91,"Peter","Bourjos","Peter Christopher",2e+06,0.250704225352113,0.0561797752808989,1822,1,6,"Peter Bourjos"
"1570","bournmi01",2007,"PHI","NL",119,33,1,6,13,21,"Michael","Bourn","Michael Ray",380000,0.277310924369748,0.0303030303030303,1824,1,7,"Michael Bourn"
"1571","bournmi01",2008,"HOU","NL",467,107,5,29,37,111,"Michael","Bourn","Michael Ray",396000,0.229122055674518,0.0467289719626168,1825,1,7,"Michael Bourn"
"1572","bournmi01",2009,"HOU","NL",606,173,3,35,63,140,"Michael","Bourn","Michael Ray",434500,0.285478547854785,0.0173410404624277,1826,1,7,"Michael Bourn"
"1573","bournmi01",2010,"HOU","NL",535,142,2,38,59,109,"Michael","Bourn","Michael Ray",2400000,0.265420560747664,0.0140845070422535,1827,1,7,"Michael Bourn"
"1574","bournmi01",2012,"ATL","NL",624,171,9,57,70,155,"Michael","Bourn","Michael Ray",6845000,0.274038461538462,0.0526315789473684,1830,1,7,"Michael Bourn"
"1575","bournmi01",2013,"CLE","AL",525,138,6,50,40,132,"Michael","Bourn","Michael Ray",7e+06,0.262857142857143,0.0434782608695652,1831,1,7,"Michael Bourn"
"1576","bournmi01",2014,"CLE","AL",444,114,3,28,35,114,"Michael","Bourn","Michael Ray",13500000,0.256756756756757,0.0263157894736842,1832,1,7,"Michael Bourn"
"1577","bournra01",1993,"LAN","NL",18,9,0,3,0,2,"Rafael","Bournigal","Rafael Antonio",124000,0.5,0,1835,1,6,"Rafael Bournigal"
"1578","bournra01",1994,"LAN","NL",116,26,0,11,9,5,"Rafael","Bournigal","Rafael Antonio",134000,0.224137931034483,0,1836,1,6,"Rafael Bournigal"
"1579","bournra01",1996,"OAK","AL",252,61,0,18,16,19,"Rafael","Bournigal","Rafael Antonio",150000,0.242063492063492,0,1837,1,6,"Rafael Bournigal"
"1580","bournra01",1997,"OAK","AL",222,62,1,20,16,19,"Rafael","Bournigal","Rafael Antonio",162500,0.279279279279279,0.0161290322580645,1838,1,6,"Rafael Bournigal"
"1581","bournra01",1998,"OAK","AL",209,47,1,19,10,11,"Rafael","Bournigal","Rafael Antonio",385000,0.22488038277512,0.0212765957446809,1839,1,6,"Rafael Bournigal"
"1582","bournra01",1999,"SEA","AL",95,26,2,14,7,6,"Rafael","Bournigal","Rafael Antonio",4e+05,0.273684210526316,0.0769230769230769,1840,1,6,"Rafael Bournigal"
"1596","bradlmi01",2002,"CLE","AL",325,81,9,38,32,58,"Milton","Bradley","Milton Obelle",221000,0.249230769230769,0.111111111111111,1863,1,9,"Milton Bradley"
"1597","bradlmi01",2003,"CLE","AL",377,121,10,56,64,73,"Milton","Bradley","Milton Obelle",314300,0.320954907161804,0.0826446280991736,1864,1,9,"Milton Bradley"
"1598","bradlmi01",2004,"LAN","NL",516,138,19,67,71,123,"Milton","Bradley","Milton Obelle",1730000,0.267441860465116,0.13768115942029,1865,1,9,"Milton Bradley"
"1599","bradlmi01",2005,"LAN","NL",283,82,13,38,25,47,"Milton","Bradley","Milton Obelle",2500000,0.289752650176678,0.158536585365854,1866,1,9,"Milton Bradley"
"1600","bradlmi01",2006,"OAK","AL",351,97,14,52,51,65,"Milton","Bradley","Milton Obelle",3e+06,0.276353276353276,0.144329896907216,1867,1,9,"Milton Bradley"
"1601","bradlmi01",2008,"TEX","AL",414,133,22,77,80,112,"Milton","Bradley","Milton Obelle",5250000,0.321256038647343,0.165413533834586,1870,1,9,"Milton Bradley"
"1602","bradlmi01",2009,"CHN","NL",393,101,12,40,66,95,"Milton","Bradley","Milton Obelle",7e+06,0.256997455470738,0.118811881188119,1871,1,9,"Milton Bradley"
"1603","bradlmi01",2010,"SEA","AL",244,50,8,29,28,75,"Milton","Bradley","Milton Obelle",1.1e+07,0.204918032786885,0.16,1872,1,9,"Milton Bradley"
"1604","bradlmi01",2011,"SEA","AL",101,22,2,13,13,31,"Milton","Bradley","Milton Obelle",1.3e+07,0.217821782178218,0.0909090909090909,1873,1,9,"Milton Bradley"
"1605","bradlph01",1985,"SEA","AL",641,192,26,88,55,129,"Phil","Bradley","Philip Poole",125000,0.299531981279251,0.135416666666667,1874,1,5,"Phil Bradley"
"1606","bradlph01",1986,"SEA","AL",526,163,12,50,77,134,"Phil","Bradley","Philip Poole",475000,0.309885931558935,0.0736196319018405,1875,1,5,"Phil Bradley"
"1607","bradlph01",1987,"SEA","AL",603,179,14,67,84,119,"Phil","Bradley","Philip Poole",750000,0.296849087893864,0.0782122905027933,1876,1,5,"Phil Bradley"
"1608","bradlph01",1988,"PHI","NL",569,150,11,56,54,106,"Phil","Bradley","Philip Poole",905000,0.263620386643234,0.0733333333333333,1877,1,5,"Phil Bradley"
"1609","bradlph01",1989,"BAL","AL",545,151,11,55,70,103,"Phil","Bradley","Philip Poole",1150000,0.277064220183486,0.0728476821192053,1878,1,5,"Phil Bradley"
"1610","bradlsc01",1987,"SEA","AL",342,95,5,43,15,18,"Scott","Bradley","Scott William",110000,0.277777777777778,0.0526315789473684,1883,1,6,"Scott Bradley"
"1611","bradlsc01",1988,"SEA","AL",335,86,4,33,17,16,"Scott","Bradley","Scott William",130000,0.256716417910448,0.0465116279069767,1884,1,6,"Scott Bradley"
"1612","bradlsc01",1989,"SEA","AL",270,74,3,37,21,23,"Scott","Bradley","Scott William",330000,0.274074074074074,0.0405405405405405,1885,1,6,"Scott Bradley"
"1613","bradlsc01",1990,"SEA","AL",233,52,1,28,15,20,"Scott","Bradley","Scott William",460000,0.223175965665236,0.0192307692307692,1886,1,6,"Scott Bradley"
"1614","bradlsc01",1991,"SEA","AL",172,35,0,11,19,19,"Scott","Bradley","Scott William",575000,0.203488372093023,0,1887,1,6,"Scott Bradley"
"1615","bradlsc01",1992,"CIN","NL",5,2,0,1,1,0,"Scott","Bradley","Scott William",837500,0.4,0,1888,1,6,"Scott Bradley"
"1617","braggda01",1995,"SEA","AL",145,34,3,12,18,37,"Darren","Bragg","Darren William",109000,0.23448275862069,0.0882352941176471,1890,1,6,"Darren Bragg"
"1618","braggda01",1997,"BOS","AL",513,132,9,57,61,102,"Darren","Bragg","Darren William",240000,0.257309941520468,0.0681818181818182,1893,1,6,"Darren Bragg"
"1619","braggda01",1998,"BOS","AL",409,114,8,57,42,99,"Darren","Bragg","Darren William",367500,0.278728606356968,0.0701754385964912,1894,1,6,"Darren Bragg"
"1620","braggda01",1999,"SLN","NL",273,71,6,26,44,67,"Darren","Bragg","Darren William",8e+05,0.26007326007326,0.0845070422535211,1895,1,6,"Darren Bragg"
"1621","braggda01",2000,"COL","NL",149,33,3,21,17,41,"Darren","Bragg","Darren William",750000,0.221476510067114,0.0909090909090909,1896,1,6,"Darren Bragg"
"1622","braggda01",2003,"ATL","NL",162,39,0,9,13,38,"Darren","Bragg","Darren William",450000,0.240740740740741,0,1897,1,6,"Darren Bragg"
"1623","bragggl01",1986,"ML4","AL",215,51,4,18,11,47,"Glenn","Braggs","Glenn Erick",60000,0.237209302325581,0.0784313725490196,1898,1,6,"Glenn Braggs"
"1624","bragggl01",1987,"ML4","AL",505,136,13,77,47,96,"Glenn","Braggs","Glenn Erick",80000,0.269306930693069,0.0955882352941176,1899,1,6,"Glenn Braggs"
"1625","bragggl01",1988,"ML4","AL",272,71,10,42,14,60,"Glenn","Braggs","Glenn Erick",122000,0.261029411764706,0.140845070422535,1900,1,6,"Glenn Braggs"
"1626","bragggl01",1989,"ML4","AL",514,127,15,66,42,111,"Glenn","Braggs","Glenn Erick",205000,0.247081712062257,0.118110236220472,1901,1,6,"Glenn Braggs"
"1627","bragggl01",1991,"CIN","NL",250,65,11,39,23,46,"Glenn","Braggs","Glenn Erick",825000,0.26,0.169230769230769,1904,1,6,"Glenn Braggs"
"1628","bragggl01",1992,"CIN","NL",266,63,8,38,36,48,"Glenn","Braggs","Glenn Erick",1e+06,0.236842105263158,0.126984126984127,1905,1,6,"Glenn Braggs"
"1629","bransje01",1993,"CIN","NL",381,92,3,22,19,73,"Jeff","Branson","Jeffery Glenn",157500,0.241469816272966,0.0326086956521739,1906,1,5,"Jeff Branson"
"1630","bransje01",1994,"CIN","NL",109,31,6,16,5,16,"Jeff","Branson","Jeffery Glenn",190000,0.284403669724771,0.193548387096774,1907,1,5,"Jeff Branson"
"1631","bransje01",1995,"CIN","NL",331,86,12,45,44,69,"Jeff","Branson","Jeffery Glenn",3e+05,0.259818731117825,0.13953488372093,1908,1,5,"Jeff Branson"
"1632","bransje01",1996,"CIN","NL",311,76,9,37,31,67,"Jeff","Branson","Jeffery Glenn",425000,0.244372990353698,0.118421052631579,1909,1,5,"Jeff Branson"
"1633","bransje01",1998,"CLE","AL",100,20,1,9,3,21,"Jeff","Branson","Jeffery Glenn",550000,0.2,0.05,1912,1,5,"Jeff Branson"
"1639","brantmi02",2010,"CLE","AL",297,73,3,22,22,38,"Michael","Brantley","Michael Charles",400800,0.245791245791246,0.0410958904109589,1920,1,7,"Michael Brantley"
"1640","brantmi02",2011,"CLE","AL",451,120,7,46,34,76,"Michael","Brantley","Michael Charles",421800,0.266075388026608,0.0583333333333333,1921,1,7,"Michael Brantley"
"1641","brantmi02",2012,"CLE","AL",552,159,6,60,53,56,"Michael","Brantley","Michael Charles",495300,0.28804347826087,0.0377358490566038,1922,1,7,"Michael Brantley"
"1642","brantmi02",2013,"CLE","AL",556,158,10,73,40,67,"Michael","Brantley","Michael Charles",526900,0.284172661870504,0.0632911392405063,1923,1,7,"Michael Brantley"
"1643","brantmi02",2014,"CLE","AL",611,200,20,97,52,56,"Michael","Brantley","Michael Charles",1500000,0.327332242225859,0.1,1924,1,7,"Michael Brantley"
"1644","brantmi02",2015,"CLE","AL",529,164,15,84,60,51,"Michael","Brantley","Michael Charles",5875000,0.310018903591682,0.0914634146341463,1925,1,7,"Michael Brantley"
"1645","brantmi02",2016,"CLE","AL",39,9,0,7,3,6,"Michael","Brantley","Michael Charles",7375000,0.230769230769231,0,1926,1,7,"Michael Brantley"
"1651","braunry02",2008,"MIL","NL",611,174,37,106,42,129,"Ryan","Braun","Ryan Joseph",455000,0.284779050736498,0.21264367816092,1941,1,9,"Ryan Braun"
"1652","braunry02",2009,"MIL","NL",635,203,32,114,57,121,"Ryan","Braun","Ryan Joseph",1032500,0.319685039370079,0.157635467980296,1942,1,9,"Ryan Braun"
"1653","braunry02",2010,"MIL","NL",619,188,25,103,56,105,"Ryan","Braun","Ryan Joseph",1287500,0.303715670436187,0.132978723404255,1943,1,9,"Ryan Braun"
"1654","braunry02",2011,"MIL","NL",563,187,33,111,58,93,"Ryan","Braun","Ryan Joseph",4287500,0.33214920071048,0.176470588235294,1944,1,9,"Ryan Braun"
"1655","braunry02",2012,"MIL","NL",598,191,41,112,63,128,"Ryan","Braun","Ryan Joseph",7111111,0.319397993311037,0.214659685863874,1945,1,9,"Ryan Braun"
"1656","braunry02",2013,"MIL","NL",225,67,9,38,27,56,"Ryan","Braun","Ryan Joseph",9898611,0.297777777777778,0.134328358208955,1946,1,9,"Ryan Braun"
"1657","braunry02",2014,"MIL","NL",530,141,19,81,41,113,"Ryan","Braun","Ryan Joseph",1e+07,0.266037735849057,0.134751773049645,1947,1,9,"Ryan Braun"
"1658","braunry02",2015,"MIL","NL",506,144,25,84,54,115,"Ryan","Braun","Ryan Joseph",1.3e+07,0.284584980237154,0.173611111111111,1948,1,9,"Ryan Braun"
"1659","braunry02",2016,"MIL","NL",511,156,30,91,46,98,"Ryan","Braun","Ryan Joseph",19315013,0.305283757338552,0.192307692307692,1949,1,9,"Ryan Braun"
"1662","breamsi01",1986,"PIT","NL",522,140,16,77,60,73,"Sid","Bream","Sidney Eugene",92000,0.268199233716475,0.114285714285714,1952,1,9,"Sid Bream"
"1663","breamsi01",1987,"PIT","NL",516,142,13,65,49,69,"Sid","Bream","Sidney Eugene",2e+05,0.275193798449612,0.0915492957746479,1953,1,9,"Sid Bream"
"1664","breamsi01",1988,"PIT","NL",462,122,10,65,47,64,"Sid","Bream","Sidney Eugene",360000,0.264069264069264,0.0819672131147541,1954,1,9,"Sid Bream"
"1665","breamsi01",1989,"PIT","NL",36,8,0,4,12,10,"Sid","Bream","Sidney Eugene",510000,0.222222222222222,0,1955,1,9,"Sid Bream"
"1666","breamsi01",1990,"PIT","NL",389,105,15,67,48,65,"Sid","Bream","Sidney Eugene",510000,0.269922879177378,0.142857142857143,1956,1,9,"Sid Bream"
"1667","breamsi01",1991,"ATL","NL",265,67,11,45,25,31,"Sid","Bream","Sidney Eugene",1600000,0.252830188679245,0.164179104477612,1957,1,9,"Sid Bream"
"1668","breamsi01",1992,"ATL","NL",372,97,10,61,46,51,"Sid","Bream","Sidney Eugene",2400000,0.260752688172043,0.103092783505155,1958,1,9,"Sid Bream"
"1669","breamsi01",1993,"ATL","NL",277,72,9,35,31,43,"Sid","Bream","Sidney Eugene",1600000,0.259927797833935,0.125,1959,1,9,"Sid Bream"
"1670","breamsi01",1994,"HOU","NL",61,21,0,7,9,9,"Sid","Bream","Sidney Eugene",3e+05,0.344262295081967,0,1960,1,9,"Sid Bream"
"1677","brettge01",1985,"KCA","AL",550,184,30,112,103,49,"George","Brett","George Howard",1e+06,0.334545454545455,0.16304347826087,1969,1,9,"George Brett"
