"","playerID","yearID","teamID.x","lgID.x","AB","H","HR","RBI","BB","SO","nameFirst","nameLast","nameGiven","salary","HperAB","HRperH","recordID","count","playerCount","fullName"
"245","amaroru02",1997,"PHI","NL",175,41,2,21,21,24,"Ruben","Amaro","Ruben",275000,0.234285714285714,0.0487804878048781,282,1,7,"Ruben Amaro"
"246","amaroru02",1998,"PHI","NL",107,20,1,10,6,15,"Ruben","Amaro","Ruben",265000,0.186915887850467,0.05,283,1,7,"Ruben Amaro"
"247","amezaal01",2005,"COL","NL",3,1,0,0,0,0,"Alfredo","Amezaga","Alfredo",320000,0.333333333333333,0,284,1,5,"Alfredo Amezaga"
"248","amezaal01",2006,"FLO","NL",334,87,3,19,33,46,"Alfredo","Amezaga","Alfredo",340000,0.260479041916168,0.0344827586206897,285,1,5,"Alfredo Amezaga"
"249","amezaal01",2007,"FLO","NL",400,105,2,30,35,52,"Alfredo","Amezaga","Alfredo",380000,0.2625,0.019047619047619,286,1,5,"Alfredo Amezaga"
"250","amezaal01",2008,"FLO","NL",311,82,3,32,19,47,"Alfredo","Amezaga","Alfredo",945000,0.263665594855305,0.0365853658536585,287,1,5,"Alfredo Amezaga"
"251","amezaal01",2009,"FLO","NL",69,15,0,5,5,16,"Alfredo","Amezaga","Alfredo",1300000,0.217391304347826,0,288,1,5,"Alfredo Amezaga"
"252","anderbr01",1990,"BAL","AL",234,54,3,24,31,46,"Brady","Anderson","Brady Kevin",120000,0.230769230769231,0.0555555555555556,291,1,13,"Brady Anderson"
"253","anderbr01",1991,"BAL","AL",256,59,2,27,38,44,"Brady","Anderson","Brady Kevin",165000,0.23046875,0.0338983050847458,292,1,13,"Brady Anderson"
"254","anderbr01",1992,"BAL","AL",623,169,21,80,98,98,"Brady","Anderson","Brady Kevin",365000,0.271268057784912,0.124260355029586,293,1,13,"Brady Anderson"
"255","anderbr01",1993,"BAL","AL",560,147,13,66,82,99,"Brady","Anderson","Brady Kevin",1855000,0.2625,0.0884353741496599,294,1,13,"Brady Anderson"
"256","anderbr01",1994,"BAL","AL",453,119,12,48,57,75,"Brady","Anderson","Brady Kevin",3083333,0.262693156732892,0.100840336134454,295,1,13,"Brady Anderson"
"257","anderbr01",1995,"BAL","AL",554,145,16,64,87,111,"Brady","Anderson","Brady Kevin",3333333,0.26173285198556,0.110344827586207,296,1,13,"Brady Anderson"
"258","anderbr01",1996,"BAL","AL",579,172,50,110,76,106,"Brady","Anderson","Brady Kevin",3613333,0.29706390328152,0.290697674418605,297,1,13,"Brady Anderson"
"259","anderbr01",1997,"BAL","AL",590,170,18,73,84,105,"Brady","Anderson","Brady Kevin",4050000,0.288135593220339,0.105882352941176,298,1,13,"Brady Anderson"
"260","anderbr01",1998,"BAL","AL",479,113,18,51,75,78,"Brady","Anderson","Brady Kevin",5441843,0.235908141962422,0.15929203539823,299,1,13,"Brady Anderson"
"261","anderbr01",1999,"BAL","AL",564,159,24,81,96,105,"Brady","Anderson","Brady Kevin",5674897,0.281914893617021,0.150943396226415,300,1,13,"Brady Anderson"
